Iteration,Error_1,Error_2,Error_3,Error_Mean,Loss_1,Loss_2,Loss_3,Loss_Mean,Score,Features_n,Alpha,Lambda,Lambda_bias,Coef1_1,Coef2_1,Coef3_1,Coef4_1,Rési1_1,Rési2_1,Rési3_1,Rési4_1,Coef1_2,Coef2_2,Coef3_2,Coef4_2,Rési1_2,Rési2_2,Rési3_2,Rési4_2,Coef1_3,Coef2_3,Coef3_3,Coef4_3,Rési1_3,Rési2_3,Rési3_3,Rési4_3,Coef1_4,Coef2_4,Coef3_4,Coef4_4,Rési1_4,Rési2_4,Rési3_4,Rési4_4,PosInitiale_1,PosInitiale_2,PosInitiale_3,PosInitiale_4,Logging
52,0.596154,0.556604,0.605769,0.586175666666667,1.703087,1.658234,1.566566,1.642629,0.962869149161,11,0.687429556037484,1.22221807214183,0.780484373246561,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
53,0.615385,0.45283,0.548077,0.538764,1.647326,1.469712,1.431619,1.516219,0.816884213316,15,0.396995573605146,0.156384610079107,0.575189716622713,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
54,0.519231,0.471698,0.519231,0.503386666666667,1.303224,1.313855,1.725094,1.447391,0.728597330853333,11,1.71470619132183,1.05579711092944,1.99698686090911,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
55,0.586538,0.490566,0.519231,0.532111666666667,1.698143,1.534933,1.513714,1.58226333333333,0.841940779405556,9,0.89118773676931,1.06797238952197,0.724221970911973,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
56,0.326923,0.59434,0.548077,0.48978,1.167845,1.448181,1.374238,1.330088,0.65145050064,11,0.598679690500035,1.766065384004,0.126737888255565,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
57,0.576923,0.54717,0.586538,0.570210333333333,1.446672,1.457553,1.467069,1.457098,0.830852336279333,9,0.712417511248674,1.03892811665213,1.00837095999603,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
58,0.480769,0.396226,0.576923,0.484639333333333,1.318314,1.378052,1.465613,1.38732633333333,0.672352909302445,8,0.0615925999486375,1.01464681247518,0.119128276747455,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,0.490385,0.415094,0.432692,0.446057,1.251802,1.170431,1.130935,1.18438933333333,0.528305152858667,12,1.28766713879535,0.813683031948468,1.59625901661066,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1
60,0.557692,0.45283,0.461538,0.490686666666667,1.454775,1.653199,1.404015,1.50399633333333,0.737990947482222,10,2.51929701331258,1.01848557011386,0.717826122677549,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1
61,0.596154,0.45283,0.432692,0.493892,1.670461,1.555352,1.716887,1.64756666666667,0.813719996133333,12,1.36740935595085,1.24919601165047,2.45598840106634,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1
